GeneA	GeneB	Digene_Score
HLA-E	KIR2DL2	0.966
PRCC	U2AF1L5	0.966
RBM17	U2AF1L5	0.966
GNAL	OR4E1	0.9659
CTNNBL1	U2AF1L5	0.9658
RET	SHANK3	0.9658
B4GALT5	MUC2	0.9657
ELOC	RACK1	0.9657
HLA-B	KIR2DS5	0.9657
ELOC	PSMB9	0.9656
PPP1R2B	PPP1R2C	0.9656
ARRB1	OR4E1	0.9655
ARRB2	OR4E1	0.9655
BECN2	ITPR1	0.9655
CENPVL1	CENPVL2	0.9655
CENPVL2	CENPVL3	0.9655
ELOC	UBA52	0.9653
HLA-A	KIR2DS5	0.9653
PRPF19	U2AF1L5	0.9653
SLU7	U2AF1L5	0.9653
CD3E	HLA-DRB3	0.9652
MPC1	MPC1L	0.9652
AMER1	SEM1	0.9651
DDOST	RPS4Y1	0.9651
ELOC	FEM1C	0.9651
HLA-A	KIR3DS1	0.9651
HLA-B	KIR2DS1	0.9651
ABCE1	ELOC	0.965
AR	TSPY1	0.965
EIF4G1	RPS4Y1	0.965
EIF4H	RPS4Y1	0.965
SEM1	UBC	0.965
DNAJC8	U2AF1L5	0.9649
B2M	KIR2DS1	0.9648
HLA-DRB3	LAT	0.9648
RPS4Y1	RPS4Y2	0.9648
FASTKD2	RCC1L	0.9646
ANAPC7	SEM1	0.9644
AURKB	SEM1	0.9644
AXIN2	TBL1Y	0.9644
DDX3Y	EIF4E	0.9644
EGLN1	ELOC	0.9644
EIF4E	RPS4Y1	0.9644
ELOC	TSC22D1	0.9644
HLA-G	KIR2DL2	0.9644
KHDRBS3	RBMY1C	0.9644
PPWD1	U2AF1L5	0.9644
PSMB6	SEM1	0.9644
CD4	HLA-DRB4	0.9643
ELOA2	ELOC	0.9643
GCNT3	MUC3B	0.9643
GALNT14	MUC3B	0.9642
SEM1	UBE2E1	0.9642
NUP35	U2AF1L5	0.964
B3GNT8	MUC3B	0.9639
CTXN2	CTXND1	0.9639
ELOC	UBC	0.9639
CISH	ELOC	0.9638
COPS7A	ELOC	0.9638
FCGR2C	LILRB4	0.9638
HLA-A	KIR2DS1	0.9638
GALNT5	MUC19	0.9637
GALNT9	MUC3B	0.9637
POLR2K	U2AF1L5	0.9637
ELOC	LRRC41	0.9636
HLA-DRB3	LCK	0.9636
CASC3	RPS4Y1	0.9635
GALNT7	MUC19	0.9635
POLR2F	U2AF1L5	0.9635
POLR2I	U2AF1L5	0.9635
CLP1	U2AF1L5	0.9634
RPS4Y1	SPCS1	0.9634
RPS4Y1	SRP72	0.9634
CCNE1	SEM1	0.9632
RPS4Y1	SMG6	0.9632
SHANK2	SHANK3	0.9632
PSME4	SEM1	0.963
CIITA	HLA-DRB3	0.9629
ELOC	MLLT3	0.9629
ELOC	RTF1	0.9629
RPN1	RPS4Y1	0.9629
B3GNT7	MUC2	0.9628
RNPS1	RPS4Y1	0.9628
SEM1	SKP2	0.9628
BECN2	GABARAP	0.9627
B2M	KIR2DS2	0.9626
GRAP2	HLA-DRB3	0.9626
PPP2CA	RPS4Y1	0.9626
B4GALT5	MUC19	0.9625
ELOC	PSMD12	0.9624
RPN2	RPS4Y1	0.9624
RPS4Y1	UPF1	0.9623
ELOC	LEO1	0.9622
PCBP1	U2AF1L5	0.9622
SNRPB2	U2AF1L5	0.9622
B3GNT4	MUC3B	0.9621
B3GNT7	MUC3B	0.9621
CASTOR2	CASTOR3	0.962
GLI3	SEM1	0.962
GNGT1	OR8U8	0.962
GALNT5	MUC2	0.9619
MUC19	ST3GAL3	0.9619
RPS4Y1	SRP54	0.9619
RPS4Y1	SMG8	0.9618
CCL3L1	CXCR4	0.9617
HLA-DPB1	HLA-DRB4	0.9617
CSNK1A1	SEM1	0.9615
EPHX1	GSTT1	0.9614
GALNT5	MUC3B	0.9614
CD101	HLA-DRB3	0.9612
GNGT1	OR4C45	0.9612
RPS4Y1	SRP68	0.9612
THOC1	U2AF1L5	0.9612
HLA-A	KIR2DS3	0.9611
KIR3DS1	ULBP2	0.9611
NCBP1	RPS4Y1	0.9611
NUP98	U2AF1L5	0.9611
EGLN3	ELOC	0.9609
KIR2DL5A	PTPN6	0.9609
CLEC10A	MUC3B	0.9607
BIRC2	SEM1	0.9606
ELOC	PSMB6	0.9606
CAND1	ELOC	0.9605
CWC27	U2AF1L5	0.9605
ATP5MC2	CMTR1	0.9604
CBLIF	FBXO10	0.9604
EFCAB9	MRPS9	0.9604
RPS4Y1	SEC11A	0.9603
CUL1	SEM1	0.9602
ELOC	LIMD1	0.9602
HLA-E	KIR2DS5	0.9602
THOC7	U2AF1L5	0.9602
GNAL	OR8U8	0.96
RPS4Y1	SMG5	0.96
ELOC	HSP90AA1	0.9599
SEPTIN2	SEPTIN8	0.9599
CDK1	SEM1	0.9598
CIITA	HLA-DRB4	0.9598
ASB8	ELOC	0.9597
FAU	RPS4Y1	0.9597
GALNT3	MUC3B	0.9597
CCL3L1	CCR4	0.9596
CTNNB1	TBL1Y	0.9596
BUB1B	SEM1	0.9595
GLI2	SEM1	0.9595
GTSE1	SEM1	0.9595
RCC1L	RPUSD4	0.9595
CAPN2	CASP12	0.9594
CD1A	KIR2DS1	0.9594
RBMX	RBMY1F	0.9594
CDC23	SEM1	0.9592
GNB1	OR4C45	0.9592
RPS4Y1	UPF3B	0.9591
B3GNT2	MUC2	0.959
RPS4Y1	SEC11C	0.959
ANAPC2	SEM1	0.9589
HNRNPD	SEM1	0.9589
AXIN1	TBL1Y	0.9588
HDAC3	SRY	0.9588
PTEN	SEM1	0.9588
RPS4Y1	SMG7	0.9588
BRCA1	SEM1	0.9587
ELOC	SOCS1	0.9587
OR4E1	PRKACA	0.9587
CCL3L1	CXCR5	0.9586
GCNT4	MUC3B	0.9586
SIAH2	TBL1Y	0.9586
TMSB4X	TMSB4Y	0.9585
AZGP1	KIR2DS5	0.9584
SEM1	TRAF2	0.9584
ASB16	ELOC	0.9583
RPS4Y1	SSR1	0.9583
GCNT3	MUC2	0.9581
RBMX	RBMY1E	0.9581
ANGPTL8	PCSK6	0.958
ELOA3C	TDP1	0.958
ELOC	GPS1	0.958
